building_class,fov,architecture,iteration,train_n,validation_n,test_n,kappa,precision,recall,computation_time(seconds),test_accuracy,average_accuracy
Residentia,F30,inception_v3,0,63976,21232,21142,0.378208053,0.970516121,0.830779725,674,82.47091174,79.99867915
Residentia,F30,inception_v3,1,63901,21307,21142,0.444085396,0.965621956,0.884300556,2335,86.73257232,79.81963434
Residentia,F30,inception_v3,2,63726,21482,21142,0.401052082,0.969439118,0.848882359,2506,83.96556377,80.2080335
Residentia,F30,inception_v3,3,64021,21187,21142,0.362404429,0.971864449,0.81561549,2591,81.25059009,79.98422937
Residentia,F30,mobilenet_1.0_224,0,63976,21232,21142,0.31079364,0.922527581,0.982841851,1441,91.01315141,61.40216933
Residentia,F30,mobilenet_1.0_224,1,63901,21307,21142,0.287159653,0.919771473,0.988351349,857,91.17869735,59.99818163
Residentia,F30,mobilenet_1.0_224,2,63726,21482,21142,0.077320148,0.98687747,0.327526498,971,38.98874223,64.38496214
Residentia,F30,mobilenet_1.0_224,3,64021,21187,21142,0.217185875,0.914498862,0.990555147,1066,90.80030322,57.18130824
Residentia,F60,inception_v3,0,63976,21232,21142,0.417206547,0.97490757,0.844002519,1371,83.97975564,82.26730443
Residentia,F60,inception_v3,1,63901,21307,21142,0.455177882,0.972340799,0.872494491,2199,86.26903892,82.276356
Residentia,F60,inception_v3,2,63726,21482,21142,0.483793789,0.970066708,0.892748452,2409,87.84883022,82.04145331
Residentia,F60,inception_v3,3,64021,21187,21142,0.435545333,0.973792364,0.857854969,2499,85.10547876,82.33612657
Residentia,F60,mobilenet_1.0_224,0,63976,21232,21142,0.271330976,0.917866667,0.993336132,1662,91.38681293,59.02381235
Residentia,F60,mobilenet_1.0_224,1,63901,21307,21142,0.074667287,0.90531024,0.998320915,1339,90.43610096,52.17132407
Residentia,F60,mobilenet_1.0_224,2,63726,21482,21142,0.139097829,0.988266954,0.481739952,1344,52.76700258,71.47183444
Residentia,F60,mobilenet_1.0_224,3,64021,21187,21142,0.50717493,0.946068108,0.966470773,1317,92.01115966,73.13160009
Residentia,F90,inception_v3,0,63976,21232,21142,0.492338802,0.971936443,0.892276209,1646,87.96707988,82.83358015
Residentia,F90,inception_v3,1,63901,21307,21142,0.425160895,0.977971687,0.840959177,2175,83.95610452,83.38673046
Residentia,F90,inception_v3,2,63726,21482,21142,0.459845685,0.974802779,0.868821492,2493,86.15078926,83.1723606
Residentia,F90,inception_v3,3,64021,21187,21142,0.497942156,0.971136364,0.896841222,2640,88.29817176,82.65396127
Residentia,F90,mobilenet_1.0_224,0,63976,21232,21142,0.107922579,0.988232317,0.409801658,1646,46.35795951,68.25879692
Residentia,F90,mobilenet_1.0_224,1,63901,21307,21142,0.215351211,0.985461494,0.622415783,1370,65.13574719,76.92213274
Residentia,F90,mobilenet_1.0_224,2,63726,21482,21142,0.413173028,0.973418716,0.845471718,1401,83.9892149,81.71696401
Residentia,F90,mobilenet_1.0_224,3,64021,21187,21142,0.25722266,0.982754726,0.68475181,1370,70.49947977,78.74334867
Residentia,F30_60_90,inception_v3,0,191928,63696,63426,0.396985547,0.972979022,0.836376675,3595,83.15674663,81.19823233
Residentia,F30_60_90,inception_v3,1,191703,63921,63426,0.423254963,0.971003879,0.858064855,5071,84.89578366,81.18699193
Residentia,F30_60_90,inception_v3,2,191178,64446,63426,0.436402686,0.969278423,0.87023822,5440,85.81654429,80.89994684
Residentia,F30_60_90,inception_v3,3,192063,63561,63426,0.388704207,0.973608544,0.829135621,5783,82.57181644,81.1800696
Residentia,F30_60_90,mobilenet_1.0_224,0,191928,63696,63426,0.477016597,0.95518308,0.92895372,3854,89.66670036,76.51806349
Residentia,F30_60_90,mobilenet_1.0_224,1,191703,63921,63426,0.465126061,0.958915683,0.913212299,3058,88.64976764,77.77033985
Residentia,F30_60_90,mobilenet_1.0_224,2,191178,64446,63426,0.406753713,0.930759164,0.982771889,3140,91.8566525,65.70929184
Residentia,F30_60_90,mobilenet_1.0_224,3,192063,63561,63426,0.435374514,0.962515871,0.888358345,3224,86.81771159,78.5989793
,,,,,,,0.361274348,0.962177957,0.835758496,2327.71875,81.93721818,75.26396247
,,,,,,,,,,,,
Meeting,F30,inception_v3,0,63976,21232,21142,0.17675597,0.984567035,0.859368112,3228,85.11966467,74.05506308
Meeting,F30,inception_v3,1,63901,21307,21142,0.156868494,0.986404922,0.824540779,2319,81.96008205,75.27105545
